Ligand,s641a_LGFE,s641a_LE,hERG_9CHQ_LGFE,9chq_LE,Nav1.5_6LQA_LGFE,6lqa_LE,Risk,optN_n_LGFE,TdP,hERG5_LGFE,Cav1.2_LGFE,optn_LE,cavRef_LE,MEOO,GEND,GEHC,hERG5_GENA,PRPC,hERG5_MAMN,BENC,ACEC,MAMC,FORC,MEOO9,GEND9,GEHC9,hERG9_GENA,PRPC9,hERG9_MAMN,hERG9_BENC,ACEC9,MAMC9,FORC9,Nav1.5_MEOO,GEND6,GEHC6,GENA6,PRPC6,Nav1.5_MAMN,Nav1.5_BENC,ACEC6,MAMC6,FORC6,MEOOs,GENDs,GEHCs,GENAs,PRPCs,hERGS_MAMN,BENCs,ACECs,MAMCs,MEOOc,Cav1.2_GEND,GEHCc,Cav1.2_GENA,PRPCc,Cav1.2_MAMN,BENCc,ACECc,MAMCc,MolWt,LogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,smiles
acetaminophen_p,-4.942,-0.449,-5.114,-0.465,-7.824,-0.711,NR,,0,-6.134,-4.779,-0.558,-0.434,-0.64,-0.6,0,-0.85,-0.44,0,-3.59,0,0,0,-0.54,-0.5,0,-0.46,-0.25,0,-3.36,0,0,0,-1.2,-0.4,0,-0.98,-0.68,0,-4.52,0,0,0,-0.54,0.07,0,-0.04,-0.57,0,-3.87,0,0,-1.1,-0.98,0,-0.08,-0.21,0,-2.37,0,0,159.229,0.2178,52.49,3,3,4,1,0,1,11,313.5596331,2.992540377,2.687262084,4.043932929,3.184420766,[H]OC1C([H])C([H])C(N([H])C(O)C([H])([H])[H])C([H])C1[H]
adapalene_p,-12.486,-0.403,-10.439,-0.337,-17.316,-0.559,NR,,0,-12.354,-11.773,-0.399,-0.38,0,0,0,-0.59,-5.7,0,-6.5,0.42,0,0,0,0,0,-0.37,-3.33,0,-4.52,-2.2,0,0,0,0,0,-0.65,-7.75,0,-7.92,-1,0,0,0,0,0,0.03,-5.13,0,-7.42,0.04,0,0,0,0,0.38,-2.49,0,-6.73,-3,0,430.673,5.7774,49.69,3,2,5,7,0,1,31,1541.716344,1.67408418,6.972899598,8.274595364,3.829254631,[H]C1C([H])C(C2C([H])C([H])C3C([H])C(C(O)O)C([H])C([H])C3C2[H])C([H])C(C23C([H])([H])C4([H])C([H])([H])C([H])(C([H])([H])C([H])(C4([H])[H])C2([H])[H])C3([H])[H])C1OC([H])([H])[H]
alclometasone_p,-9.133,-0.326,-6.508,-0.232,-15.715,-0.561,NR,,0,-10.579,-5.848,-0.378,-0.209,-1.42,0,0,-1.61,-7.54,0,0,0,0,0,-0.66,0,0,-0.25,-5.59,0,0,0,0,0,-2.05,0,0,-2.9,-10.72,0,0,0,0,0,-1.11,0,0,-0.21,-7.81,0,0,0,0,-1.56,0,0,0.39,-4.65,0,0,0,0,396.568,1.9371,101.15,5,5,8,4,0,1,28,1635.077736,2.703910264,5.583570654,6.648362428,2.491823544,[H]OC([H])([H])C(O)C1(O[H])C([H])(C([H])([H])[H])C([H])([H])C2([H])C3([H])C([H])(C)C([H])([H])C4C([H])C(O)C([H])C([H])C4(C([H])([H])[H])C3([H])C([H])(O[H])C([H])([H])C12C([H])([H])[H]
almotriptan_p,-8.611,-0.374,-7.144,-0.311,-14.601,-0.635,NR,,0,-13.315,-5.534,-0.579,-0.241,0,-1.42,-0.74,-0.78,-3.14,-6.2,-1,0,0,0,0,-2.8,-0.55,-0.64,-0.96,-1.1,-1.14,0,0,0,0,-1.24,-1.01,-1.46,-4.68,-3.2,-3.03,0,0,0,0,-0.59,-1.32,-0.37,-2.71,-1.3,-2.32,0,0,0,-0.75,-0.61,0,-1.58,-1.8,-0.77,0,0,346.561,1.2867,60.17,4,4,8,3,0,1,23,1247.960844,2.279251556,4.341173871,7.581896834,4.411723871,[H]C1C([H])C(C([H])([H])S(O)(O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])C2C1N([H])C([H])C2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H]
alogliptin_p,-8.125,-0.325,-8.049,-0.322,-14.339,-0.574,NR,,0,-12.987,-6.133,-0.519,-0.245,0,0,-0.74,-1.34,-1.94,-6.2,-2.74,0,0,0,0,0,-0.42,-0.7,-0.83,-2.3,-3.75,0,0,0,0,0,-0.85,-2.09,-4,-3.5,-3.96,0,0,0,0,0,-1.47,-0.33,-1.33,-1.7,-3.28,0,0,0,0,-1.44,0.12,-1,-1.2,-2.61,0,0,356.535,-0.9843,103.84,6,4,6,3,0,1,25,1172.130305,2.490685571,5.859536671,8.605735042,4.349865582,[H]C1C([H])C([H])C(C([H])([H])N2C(O)N(C([H])([H])[H])C(O)C([H])C2N2C([H])([H])C([H])([H])C([H])([H])C([H])([N+]([H])([H])[H])C2([H])[H])C(CN)C1[H]
alprostadil_p,-9.546,-0.382,-8.063,-0.323,-15.614,-0.625,NR,,0,-9.67,-8.793,-0.387,-0.352,-1.18,0,0,-0.85,-7.48,0,0,-0.14,0,0,-0.29,0,0,0.03,-5.37,0,0,-2.4,0,0,-2,0,0,-0.91,-10.69,0,0,-2,0,0,-1.28,0,0,-0.12,-7.09,0,0,-1,0,-0.8,0,0,0.08,-4.97,0,0,-3.1,0,360.535,2.717,101.15,5,5,17,1,0,1,25,1511.639051,4.486845274,4.204844291,13.0420307,9.339668384,[H]OC([H])(C([H])C([H])C1([H])C([H])(O[H])C([H])([H])C(O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(O)O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
amiloride_p,-3.937,-0.262,-5.036,-0.336,-10.129,-0.675,NR,,0,-8.344,-5.917,-0.556,-0.394,0,-1.44,-0.48,-2.09,0,0,0,0,-4.3,0,0,-2.7,-0.55,-1.07,0,0,0,0,-0.73,0,0,-1.76,-1.19,-2.93,0,0,0,0,-4.3,0,0,-0.57,-1.55,-0.74,0,0,0,0,-1.1,0,-0.71,-1.02,-0.05,0,0,0,0,-4.1,219.293,-4.3851,160.4,8,8,7,1,0,1,15,385.2566173,2.991620183,4.899309259,5.14308303,3.328192111,[H]N([H])C1NC(N([H])[H])C(C(O)N([H])C(N([H])[H])N([H])[H])NC1C
amlodipine_p,-9.377,-0.335,-7.339,-0.262,-16.326,-0.583,NR,,0,-15.362,-5.839,-0.549,-0.209,0,-0.76,-0.32,-2.99,-2.16,-6.2,-2.91,0,0,0,0,-0.19,-0.03,-1.38,-1.1,-2.3,-2.36,0,0,0,0,-1.1,-0.4,-3.76,-4.75,-3.2,-3.07,0,0,0,0,-0.14,-0.6,-0.76,-2.81,-1.6,-3.47,0,0,0,-0.98,-0.84,0.39,-0.91,-1.3,-2.22,0,0,403.584,0.5998,107.82,6,4,14,2,0,1,28,1276.977886,3.271030513,6.60958141,11.78983386,5.654797976,[H]C1C([H])C([H])C(C2([H])C(C(O)OC([H])([H])[H])C(C([H])([H])[H])N([H])C(C([H])([H])OC([H])([H])C([H])([H])[N+]([H])([H])[H])C2C(O)OC([H])([H])C([H])([H])[H])C(C)C1[H]
amoxapine_p,-7.322,-0.333,-10.774,-0.49,-19.659,-0.894,NR,,0,-17.236,-10.076,-0.783,-0.458,0,0,0,0.22,-0.56,-13.3,-3.62,0,0,0,0,0,0,-1.21,0.2,-4.78,-4.92,0,0,0,0,0,0,-1.05,-1.6,-12.1,-4.87,0,0,0,0,0,0,-0.49,-0.47,-1.82,-4.51,0,0,0,0,0,0.09,-0.33,-5.1,-4.7,0,0,308.49,0.9273,41.11,3,2,1,4,0,1,22,957.6899183,2.025030562,5.168316948,6.758102238,3.076954844,[H]C1C([H])C([H])C2C(OC3C([H])C([H])C(C)C([H])C3C(N3C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C3([H])[H])N2[H])C1[H]
amoxicillin_p,-7.469,-0.299,-8.882,-0.355,-14.867,-0.595,NR,,0,-11.568,-6.505,-0.463,-0.26,-1.1,-0.67,-0.1,-0.68,-1.86,-5.2,-1.75,-0.21,0,0,-0.48,-0.98,-0.09,-0.1,-1.38,-1.5,-2.51,-1.8,0,0,-0.34,-1,-0.19,-1.38,-3.9,-3.3,-4,-0.69,0,0,0.21,-0.56,-0.26,0.27,-1.71,-1.6,-3.52,-0.26,0,0.59,-0.25,-0.09,0.06,-0.86,0.35,-3.43,-2.9,0,378.515,-2.4106,144.06,8,7,9,3,0,1,25,1074.867061,2.229106604,6.821603007,7.214776246,3.585717097,[H]OC1C([H])C([H])C(C([H])(C(O)N([H])C2([H])C(O)N3C2([H])SC(C([H])([H])[H])(C([H])([H])[H])C3([H])C(O)O)[N+]([H])([H])[H])C([H])C1[H]
ampicillin_p,-8.123,-0.338,-8.45,-0.352,-15.92,-0.663,NR,,0,-11.187,-7.206,-0.466,-0.3,0,-0.37,-0.07,-0.77,-1.79,-6.2,-1.89,-0.04,0,0,0,-0.45,-0.15,-0.16,-1.39,-1.6,-2.84,-1.8,0,0,0,-0.8,-0.18,-1.02,-5.31,-2.8,-4.39,-1.5,0,0,0,-0.26,-0.17,0.28,-2.98,-1.6,-3.62,0.24,0,0,-0.25,-0.09,0.16,-0.94,-0.08,-3.14,-2.9,0,362.516,-1.3814,123.83,7,6,8,3,0,1,24,1055.973078,2.23575415,6.306612731,6.998638733,3.230734366,[H]C1C([H])C([H])C(C([H])(C(O)N([H])C2([H])C(O)N3C2([H])SC(C([H])([H])[H])(C([H])([H])[H])C3([H])C(O)O)[N+]([H])([H])[H])C([H])C1[H]
atenolol_p,-8.156,-0.429,-7.404,-0.39,-14.191,-0.747,NR,,0,-13.002,-7.379,-0.684,-0.388,-0.37,-0.04,0,-1.24,-2.41,-6.2,-2.73,0,0,0,-0.22,-1.3,0,-1.03,-0.44,-2.5,-1.93,0,0,0,-0.54,-0.75,0,-1.14,-4.02,-3.5,-4.28,0,0,0,-0.76,-0.11,0,-0.21,-1.95,-1.7,-3.43,0,0,-0.52,-0.95,0,-0.02,-1.78,-1,-3.07,0,0,275.413,-0.4383,92.32,4,4,12,1,0,1,19,912.3570985,3.680375934,3.409143564,8.869204152,7.84477085,[H]OC([H])(C([H])([H])OC1C([H])C([H])C(C([H])([H])C(O)N([H])[H])C([H])C1[H])C([H])([H])[N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
atropine_p,-8.769,-0.418,-8.303,-0.395,-14.74,-0.702,NR,,0,-13.343,-7.293,-0.635,-0.347,-0.61,0,0,-0.99,-2.68,-6.2,-2.85,0,0,0,-0.24,0,0,-1.04,-2.14,-1.7,-3.2,0,0,0,-0.67,0,0,-0.26,-6.44,-2.2,-5.12,0,0,0,-0.67,0,0,-0.19,-2.75,-1.7,-3.44,0,0,-0.4,0,0,-0.02,-1.59,-2,-3.29,0,0,298.447,0.7183,54.13,3,3,7,3,0,1,21,1126.023309,2.407794197,3.73892951,6.94636095,3.440586204,[H]OC([H])([H])C([H])(C(O)OC1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])(C1([H])[H])[N+]2([H])C([H])([H])[H])C1C([H])C([H])C([H])C([H])C1[H]
azathioprine_p,-5.799,-0.305,-4.489,-0.236,-9.234,-0.486,NR,,0,-7.564,-3.124,-0.398,-0.164,0,-0.4,-1.82,-3.95,-1,0,-0.4,0,0,0,0,-1.7,-0.99,-1.49,-0.15,0,-0.14,0,0,0,0,-0.57,-1.02,-5.56,-1.43,0,-0.67,0,0,0,0,-0.22,-3.07,-1.04,-1.06,0,-0.4,0,0,0,-0.47,-1.78,0.05,-0.6,0,-0.32,0,0,291.381,-2.7339,107.09,10,7,4,3,0,1,19,519.2993462,1.851329303,7.844793111,5.773843253,2.737614259,[H]C1NC2NC([H])N([H])C2C(SC2C(N(O)O)NC([H])N2C([H])([H])[H])N1
azelaic_acid_p,-4.53,-0.348,-6.327,-0.487,-8.357,-0.643,NR,,0,-3.508,-6.428,-0.27,-0.494,0,0,0,0,-3.32,0,0,-0.18,0,0,0,0,0,0,-1.75,0,0,-4.6,0,0,0,0,0,0,-5.4,0,0,-3,0,0,0,0,0,0,-2.88,0,0,-1.62,0,0,0,0,0,-0.67,0,0,-5.8,0,192.255,0.3385,80.92,4,4,8,0,0,1,13,496.7060687,6.619165096,2.695773562,8.438790773,11.84,[H]C([H])(C(O)O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(O)O
azilsartan_p,-9.789,-0.288,-8.944,-0.263,-17.14,-0.504,NR,,0,-10.884,-6.615,-0.32,-0.195,0,-0.84,-1.32,-2.78,-1.04,0,-5.02,0.12,0,0,0,-0.5,0.19,-1.22,-0.08,0,-4.87,-2.4,0,0,0,-0.83,-1.4,-3.12,-1.56,0,-9.48,-0.74,0,0,0,-0.1,-1.95,-0.86,-0.86,0,-4.95,-1,0,0,0.37,0.71,0.29,-0.41,0,-4.67,-2.9,0,482.666,1.3989,118.48,9,6,8,5,0,1,34,1283.916045,1.576748548,11.17145648,11.35652762,5.331761757,[H]C1C([H])C([H])C(C2NOC(O)N2[H])C(C2C([H])C([H])C(C([H])([H])N3C(OC([H])([H])C([H])([H])[H])NC4C([H])C([H])C([H])C(C(O)O)C43)C([H])C2[H])C1[H]
bazedoxifene_p,-11.232,-0.321,-7.884,-0.225,-18.607,-0.532,NR,,0,-15.64,-10.197,-0.447,-0.291,-0.64,0,-0.82,-0.5,-1.9,-5.2,-6.54,0,0,0,-0.62,0,0.24,-0.4,-3.47,0.75,-4.39,0,0,0,-1.76,0,-1.48,-0.49,-5.46,-3.5,-5.91,0,0,0,-1.1,0,-0.93,-0.15,-2.2,-1.7,-5.15,0,0,0.17,0,-1.08,0.06,-2.27,-1.6,-5.43,0,0,491.781,3.4217,57.37,4,3,10,5,0,1,35,1837.773573,1.664467135,7.299614427,12.56318735,6.63013012,[H]OC1C([H])C([H])C(C2C(C([H])([H])[H])C3C([H])C(O[H])C([H])C([H])C3N2C([H])([H])C2C([H])C([H])C(OC([H])([H])C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])C2[H])C([H])C1[H]
beclomethasone_p,-9.183,-0.328,-6.694,-0.239,-15.06,-0.538,NR,,0,-10.125,-6.358,-0.362,-0.227,-1.11,0,0,-1.41,-7.63,0,0,0,0,0,-0.76,0,0,-0.26,-5.67,0,0,0,0,0,-1.87,0,0,-2.35,-10.85,0,0,0,0,0,-0.85,0,0,-0.08,-8.26,0,0,0,0,-2.26,0,0,0.58,-4.72,0,0,0,0,398.584,2.3272,101.15,5,5,8,4,0,1,28,1585.311315,8.70E-06,5.775102966,7.193090434,2.690299479,C.[H]OC([H])([H])C(O)C1(O[H])C([H])(C([H])([H])[H])C([H])([H])C2([H])C3([H])C(C([H])(O[H])C([H])([H])C12C([H])([H])[H])C1(C([H])([H])[H])C([H])C([H])C(O)C([H])C1C([H])([H])C3([H])[H]
benperidol_p,-9.204,-0.329,-8.727,-0.312,-17.707,-0.632,NR,,0,-14.588,-8.451,-0.521,-0.302,0,-0.83,-0.81,-2.02,-1.6,-5.2,-4.08,0,0,0,0,-0.5,-0.38,-1.47,0.15,-2.5,-3.99,0,0,0,0,-1.2,-1.33,-2.44,-2.34,-3.6,-6.84,0,0,0,0,-0.16,-0.93,0.06,-3.24,-0.21,-4.75,0,0,0,-0.9,-0.95,-0.13,-0.95,-1.5,-4.05,0,0,398.587,1.1954,60.17,4,4,6,4,0,1,28,1367.795766,1.942782529,6.379251156,9.691985273,4.889477498,[H]C1C([H])C([H])C2C(C1[H])N([H])C(O)N2C1([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C([H])([H])C(O)C2C([H])C([H])C(F)C([H])C2[H])C([H])([H])C1([H])[H]
benzoyl_peroxide,-8.098,-0.45,-7.626,-0.424,-12.707,-0.706,NR,,0,-8.393,-6.436,-0.466,-0.358,0,0,0,-2.43,0,0,-5.96,0,0,0,0,0,0,-1.46,0,0,-6.17,0,0,0,0,0,0,-3.58,0,0,-9.13,0,0,0,0,0,0,0.14,0,0,-8.25,0,0,0,0,0,-0.46,0,0,-5.98,0,0,258.358,2.732,58.92,4,2,5,2,0,1,18,444.5136704,2.021359087,6.082589561,7.434297554,4.194039023,[H]C1C([H])C([H])C(C(O)OOC(O)C2C([H])C([H])C([H])C([H])C2[H])C([H])C1[H]
benzoyl_peroxide_p,-8.146,-0.453,-7.61,-0.423,-12.633,-0.702,NR,,0,-8.45,-6.465,-0.469,-0.359,0,0,0,-2.61,0,0,-5.83,0,0,0,0,0,0,-1.46,0,0,-6.16,0,0,0,0,0,0,-3.74,0,0,-8.9,0,0,0,0,0,0,0.14,0,0,-8.3,0,0,0,0,0,-0.49,0,0,-5.98,0,0,258.358,2.732,58.92,4,2,5,2,0,1,18,444.5136704,2.021359087,6.082589561,7.434297554,4.194039023,[H]C1C([H])C([H])C(C(O)OOC(O)C2C([H])C([H])C([H])C([H])C2[H])C([H])C1[H]
bepridil_p,-8.764,-0.325,-10.251,-0.38,-16.393,-0.607,NR,,0,-12.99,-8.27,-0.481,-0.306,0,0,0,-1.12,-2.31,-5.2,-4.31,0,0,0,0,0,0,-0.91,-2.58,-1,-5.71,0,0,0,0,0,0,-2.27,-3.67,-3.6,-6.88,0,0,0,0,0,0,-0.39,-5.12,-0.21,-3.04,0,0,0,0,0,-0.01,-1.18,-1.8,-5.24,0,0,379.653,3.9213,16.91,2,1,12,3,0,1,27,1574.880375,2.767461213,4.411923703,11.77831593,7.327017358,[H]C1C([H])C([H])C(N(C([H])([H])C2C([H])C([H])C([H])C([H])C2[H])C([H])([H])C([H])(C([H])([H])OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[N+]2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])C1[H]
betaxolol_p,-9.733,-0.442,-9.44,-0.429,-16.842,-0.766,NR,,0,-15.219,-7.928,-0.692,-0.36,-0.49,0,0,-0.75,-5.25,-6.2,-2.49,0,0,0,0.04,0,0,-1.18,-3.9,-1.7,-2.72,0,0,0,-0.53,0,0,-1.47,-7.73,-3.5,-3.64,0,0,0,-0.76,0,0,-0.4,-4.07,-1.7,-2.78,0,0,0.33,0,0,-0.14,-3.44,-1.6,-3.02,0,0,314.49,1.7112,55.3,3,2,14,2,0,1,22,1282.995671,2.567268338,3.397210404,9.862579981,7.908713209,[H]OC([H])(C([H])([H])OC1C([H])C([H])C(C([H])([H])C([H])([H])OC([H])([H])C2([H])C([H])([H])C2([H])[H])C([H])C1[H])C([H])([H])[N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
bictegravir_p,-9.638,-0.301,-8.547,-0.267,-18.766,-0.586,NR,,0,-12.084,-5.666,-0.378,-0.177,-0.45,-0.47,-0.57,-3.61,-2.71,0,-4.27,0,0,0,-0.13,0.03,0.61,-1.8,-2.75,0,-4.49,0,0,0,-0.69,-0.75,-0.35,-4.91,-5.45,0,-6.68,0,0,0,-0.57,0.09,-0.63,-0.6,-3.72,0,-4.2,0,0,-0.54,-0.9,0.82,-0.19,-1.49,0,-3.37,0,0,465.513,-0.7477,108.66,8,5,5,5,0,1,32,1344.259208,1.609501713,10.21930317,8.919037201,3.980044778,[H]OC1C(O)C(C(O)N([H])C([H])([H])C2C(F)C([H])C(F)C([H])C2F)C([H])N2C1C(O)N1C([H])(OC3([H])C([H])([H])C([H])([H])C1([H])C3([H])[H])C2([H])[H]
bisoprolol_p,-10.034,-0.436,-9.632,-0.419,-17.206,-0.748,NR,,0,-15.677,-8.025,-0.682,-0.349,-0.53,0,0,-1.5,-4.82,-6.2,-2.59,0,0,0,-0.19,0,0,-1.56,-3.85,-1.7,-2.35,0,0,0,-0.5,0,0,-2.02,-7.44,-3.6,-3.66,0,0,0,-0.76,0,0,-0.08,-4.01,-1.7,-3.5,0,0,-0.2,0,0,-0.27,-3.4,-1.6,-2.5,0,0,332.505,1.3361,64.53,4,2,17,1,0,1,23,1293.648272,3.671096306,3.608167723,12.20375757,11.05852699,[H]OC([H])(C([H])([H])OC1C([H])C([H])C(C([H])([H])OC([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])C1[H])C([H])([H])[N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
brexpiprazole_p,-9.962,-0.321,-8.717,-0.281,-18.803,-0.607,NR,,0,-15.973,-8.915,-0.515,-0.288,0,-0.47,-0.88,-1.81,-2.62,-5.2,-4.99,0,0,0,0,-1.3,0.21,-1,-0.21,-2.5,-3.91,0,0,0,0,-1.4,-0.96,-2.09,-4.53,-2.4,-7.5,0,0,0,0,-0.17,-1.09,-0.45,-2.7,-0.56,-5,0,0,0,-0.41,-1.68,0.15,-1.89,0.1,-5.18,0,0,452.729,1.897,49.17,5,3,7,5,0,1,31,1568.979155,1.589423047,7.100451645,11.05024359,5.805649239,[H]C1SC2C([H])C([H])C([H])C(N3C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC4C([H])C([H])C5C([H])C([H])C(O)N([H])C5C4[H])C([H])([H])C3([H])[H])C2C1[H]
brivaracetam_p,-5.862,-0.391,-4.164,-0.278,-9.234,-0.616,NR,,0,-6.557,-4.405,-0.437,-0.294,0,-0.77,-0.32,-1.4,-4.08,0,0,0,0,0,0,-0.25,-0.22,-0.97,-2.73,0,0,0,0,0,0,-0.56,-0.36,-1.67,-6.65,0,0,0,0,0,0,-0.32,-0.68,-0.32,-4.54,0,0,0,0,0,-0.77,-0.92,-0.16,-2.57,0,0,0,0,216.325,0.4825,69.72,4,3,8,1,0,1,15,807.8730696,4.204493412,2.341799929,5.796726392,3.144389315,[H]N([H])C(O)C([H])(N1C(O)C([H])([H])C([H])(C([H])([H])C([H])([H])C([H])([H])[H])C1([H])[H])C([H])([H])C([H])([H])[H]
brompheniramine_p,-7.381,-0.388,-7.197,-0.379,-13.65,-0.718,NR,,0,-11.412,-5.719,-0.601,-0.301,0,0,-0.29,-1.17,-1.32,-5.2,-3.41,0,0,0,0,0,0.05,-1.18,-0.26,-2.3,-3.49,0,0,0,0,0,-0.44,-1.71,-1.65,-3.8,-6.03,0,0,0,0,0,-0.52,-0.09,-1.45,-0.66,-4.67,0,0,0,0,-0.23,-0.12,-1.24,-1.6,-2.53,0,0,265.274,0.8911,16.47,1,2,7,2,0,1,19,852.772197,2.995044858,3.840909498,7.684106653,4.786625457,[H]C1NC(C([H])(C2C([H])C([H])C(B)C([H])C2[H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])C([H])C([H])C1[H]
budesonide_p,-9.659,-0.312,-8.271,-0.267,-16.723,-0.539,NR,,0,-11.078,-6.108,-0.357,-0.197,-1.01,0,0,-1.53,-8.53,0,0,0,0,0,-0.17,0,0,-1.13,-6.98,0,0,0,0,0,-1.59,0,0,-2.35,-12.83,0,0,0,0,0,-0.94,0,0,-0.63,-8.07,0,0,0,0,-1.01,0,0,-0.1,-5,0,0,0,0,438.605,2.6043,99.38,6,4,9,5,0,1,31,1958.134559,2.281679803,5.762095459,7.640572776,2.910966874,[H]OC([H])([H])C(O)C12OC([H])(C([H])([H])C([H])([H])C([H])([H])[H])OC1([H])C([H])([H])C1([H])C3([H])C([H])([H])C([H])([H])C4C([H])C(O)C([H])C([H])C4(C([H])([H])[H])C3([H])C([H])(O[H])C([H])([H])C21C([H])([H])[H]
bumetanide_p,-7.681,-0.307,-8.036,-0.321,-14.062,-0.562,NR,,0,-9.454,-7.107,-0.378,-0.284,0,-1.12,0,-1.18,-1.81,0,-5.45,0.12,0,0,0,-1.15,0,-1.36,-0.15,0,-3.22,-2.2,0,0,0,-0.75,0,-2,-3.17,0,-6.65,-1.5,0,0,0,-0.35,0,-0.37,-1.04,0,-4.96,-0.95,0,0,-0.49,0,0.13,-1.12,0,-3.13,-2.5,0,380.551,2.1762,128.2,7,6,10,2,0,1,25,980.5830667,2.873135409,7.15041747,9.846434464,6.320202787,[H]C1C([H])C([H])C(OC2C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])C(C(O)O)C([H])C2S(O)(O)N([H])[H])C([H])C1[H]
bupropion_p,-6.222,-0.389,-6.626,-0.414,-11.635,-0.727,NR,,0,-9.774,-5.702,-0.611,-0.356,0,0,0,-1.06,-0.86,-6.2,-1.62,0,0,0,0,0,0,-0.74,-1.65,-1.7,-2.53,0,0,0,0,0,0,-1.28,-3.19,-2.3,-4.83,0,0,0,0,0,0,-0.28,-1.46,-1.7,-2.78,0,0,0,0,0,-0.16,-1.02,-1.8,-2.76,0,0,228.4,1.924,36.84,1,2,4,1,0,1,16,702.5703843,4.136746737,2.906245111,5.503235109,4.423184306,[H]C1C([H])C(C)C([H])C(C(O)C([H])(C([H])([H])[H])[N+]([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1[H]
butorphanol_p,-8.83,-0.368,-6.687,-0.279,-14.969,-0.624,NR,,0,-10.986,-6.876,-0.458,-0.286,-1.7,0,0,0,-2.46,-5.2,-1.63,0,0,0,-0.77,0,0,0,-1.34,-1.2,-3.37,0,0,0,-0.39,0,0,0,-7.53,-3.1,-3.95,0,0,0,-0.7,0,0,0,-5.62,-0.44,-2.09,0,0,-0.31,0,0,0,-3.02,-0.46,-3.09,0,0,334.524,1.9161,44.9,2,3,4,5,0,1,24,1596.370132,2.207786275,3.731550452,5.688757455,2.132631293,[H]OC1C([H])C([H])C2C(C1[H])C13C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1(O[H])C([H])(C2([H])[H])[N+]([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C3([H])[H]
caffeine_p,-4.932,-0.352,-2.72,-0.194,-6.531,-0.467,NR,,0,-5.27,-3.983,-0.376,-0.284,0,0,-1.51,-2.53,-1.24,0,0,0,0,0,0,0,-0.44,-1.73,-0.56,0,0,0,0,0,0,0,-1.97,-2.69,-1.87,0,0,0,0,0,0,0,-3.04,-0.51,-1.38,0,0,0,0,0,0,-3.32,-0.11,-0.56,0,0,0,0,202.258,-2.3549,62.21,6,3,3,2,0,1,14,480.949263,2.557478288,3.654420361,3.406597336,1.268656586,[H]C1NC2C(C(O)N(C([H])([H])[H])C(O)N2C([H])([H])[H])N1C([H])([H])[H]
calcitriol_p,-11.647,-0.388,-7.55,-0.252,-18.755,-0.625,NR,,0,-11.303,-8.024,-0.377,-0.267,-1.46,0,0,0,-9.81,0,0,0,0,0,0.52,0,0,0,-8.07,0,0,0,0,0,-0.74,0,0,0,-17.98,0,0,0,0,0,-1.13,0,0,0,-10.52,0,0,0,0,-1.26,0,0,0,-6.76,0,0,0,0,422.694,5.9444,60.69,3,3,16,3,0,1,30,2106.812277,2.936957966,4.328329618,9.792068531,5.618077357,[H]OC1([H])C(C([H])[H])C(C([H])C([H])C2C([H])([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(O[H])C1([H])[H]
